Mon, 27 Dec 2021 08:05:11 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'Concat(3, CASE WHEN sub_category_img  != '' THEN  Concat(sub_category_img) end) ' at line 1 | 
Mon, 27 Dec 2021 08:05:11 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'Concat(6, CASE WHEN sub_category_img  != '' THEN  Concat(sub_category_img) end) ' at line 1 | 
Mon, 27 Dec 2021 08:05:11 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'Concat(4, CASE WHEN sub_category_img  != '' THEN  Concat(sub_category_img) end) ' at line 1 | 
Mon, 27 Dec 2021 08:07:35 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '?' at line 1 | 
Mon, 27 Dec 2021 08:07:35 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '?' at line 1 | 
Mon, 27 Dec 2021 08:07:35 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '?' at line 1 | 
Mon, 27 Dec 2021 08:07:35 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '?' at line 1 | 
Mon, 27 Dec 2021 08:07:35 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '?' at line 1 | 
Mon, 27 Dec 2021 08:07:35 GMT | ERROR | Model.log | Error: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '?' at line 1 | 
Tue, 11 Jan 2022 12:05:13 GMT | ERROR | Model.log | Error: Unknown column 'sub_category_name' in 'field list' | 
Tue, 11 Jan 2022 12:24:28 GMT | ERROR | Model.log | Error: Unknown column 'sub_category_name' in 'field list' | 
Fri, 28 Jan 2022 07:19:21 GMT | ERROR | Model.log | Error: Unknown column 'password' in 'field list' | 
Fri, 28 Jan 2022 07:19:27 GMT | ERROR | Model.log | Error: Unknown column 'password' in 'field list' | 
Fri, 28 Jan 2022 07:20:03 GMT | ERROR | Model.log | Error: Unknown column 'password' in 'field list' | 
Fri, 28 Jan 2022 07:22:56 GMT | ERROR | Model.log | Error: Unknown column 'password' in 'field list' | 
Fri, 28 Jan 2022 07:23:06 GMT | ERROR | Model.log | Error: Unknown column 'password' in 'field list' | 
Fri, 28 Jan 2022 07:24:11 GMT | ERROR | Model.log | Error: Unknown column 'password' in 'field list' | 
Fri, 28 Jan 2022 07:30:37 GMT | ERROR | Model.log | Error: Unknown column 'password' in 'field list' | 
Fri, 28 Jan 2022 07:35:47 GMT | ERROR | Model.log | Error: Unknown column 'password' in 'field list' | 
Fri, 28 Jan 2022 07:36:20 GMT | ERROR | Model.log | Error: Unknown column 'password' in 'field list' | 
Fri, 28 Jan 2022 08:47:31 GMT | ERROR | Model.log | Error: Unknown column 'id' in 'field list' | 
Fri, 28 Jan 2022 08:47:40 GMT | ERROR | Model.log | Error: Unknown column 'id' in 'field list' | 
Fri, 28 Jan 2022 10:46:49 GMT | ERROR | Model.log | Error: Table 'auction.bid' doesn't exist | 
Fri, 28 Jan 2022 10:47:19 GMT | ERROR | Model.log | Error: Table 'auction.bid' doesn't exist | 
Fri, 28 Jan 2022 10:47:28 GMT | ERROR | Model.log | Error: Table 'auction.bid' doesn't exist | 
Fri, 28 Jan 2022 10:48:03 GMT | ERROR | Model.log | Error: Table 'auction.product' doesn't exist | 
Fri, 28 Jan 2022 10:48:24 GMT | ERROR | Model.log | Error: Column 'status' in where clause is ambiguous | 
Fri, 28 Jan 2022 11:23:16 GMT | ERROR | Model.log | Error: Table 'auction.product' doesn't exist | 
Fri, 28 Jan 2022 13:24:08 GMT | ERROR | Model.log | Error: Table 'auction.users' doesn't exist | 
Sat, 29 Jan 2022 05:18:50 GMT | ERROR | Model.log | Error: Unknown column 'user_id' in 'order clause' | 
Sat, 29 Jan 2022 05:48:18 GMT | ERROR | Model.log | Error: Unknown column 'user_id' in 'field list' | 
Sat, 29 Jan 2022 05:56:36 GMT | ERROR | Model.log | Error: Unknown column 'user_id' in 'field list' | 
Sat, 29 Jan 2022 05:56:48 GMT | ERROR | Model.log | Error: Unknown column 'user_id' in 'order clause' | 
Sat, 29 Jan 2022 06:00:45 GMT | ERROR | Model.log | Error: Unknown column 'user_id' in 'order clause' | 
Sat, 29 Jan 2022 06:45:06 GMT | ERROR | Model.log | Error: Unknown column 'customer_id' in 'where clause' | 
Sat, 29 Jan 2022 07:25:37 GMT | ERROR | Model.log | Error: Unknown column 'customer_id' in 'where clause' | 
Sat, 29 Jan 2022 09:02:45 GMT | ERROR | Model.log | Error: Table 'auction.client' doesn't exist | 
Sat, 29 Jan 2022 09:02:45 GMT | ERROR | Model.log | Error: Unknown column 'user_id' in 'field list' | 
Sat, 29 Jan 2022 11:24:02 GMT | ERROR | Model.log | Error: Table 'auction.client' doesn't exist | 
Sat, 29 Jan 2022 11:24:02 GMT | ERROR | Model.log | Error: Unknown column 'user_id' in 'field list' | 
Sat, 29 Jan 2022 11:27:35 GMT | ERROR | Model.log | Error: Table 'auction.client' doesn't exist | 
Sat, 29 Jan 2022 11:27:35 GMT | ERROR | Model.log | Error: Unknown column 'user_id' in 'field list' | 
Sat, 29 Jan 2022 11:36:03 GMT | ERROR | Model.log | Error: Table 'auction.client' doesn't exist | 
Sat, 29 Jan 2022 11:36:03 GMT | ERROR | Model.log | Error: Unknown column 'user_id' in 'field list' | 
Sat, 29 Jan 2022 12:33:49 GMT | ERROR | Model.log | Error: Table 'auction.client' doesn't exist | 
Sat, 29 Jan 2022 12:33:49 GMT | ERROR | Model.log | Error: Unknown column 'user_id' in 'field list' | 
Mon, 31 Jan 2022 05:31:33 GMT | ERROR | Model.log | Error: Table 'auction.client' doesn't exist | 
Mon, 31 Jan 2022 05:31:33 GMT | ERROR | Model.log | Error: Unknown column 'user_id' in 'field list' | 
Mon, 31 Jan 2022 05:33:05 GMT | ERROR | Model.log | Error: Table 'auction.client' doesn't exist | 
Mon, 31 Jan 2022 05:33:05 GMT | ERROR | Model.log | Error: Unknown column 'user_id' in 'field list' | 
Mon, 31 Jan 2022 05:47:13 GMT | ERROR | Model.log | Error: Table 'auction.client' doesn't exist | 
Mon, 31 Jan 2022 05:47:13 GMT | ERROR | Model.log | Error: Unknown column 'user_id' in 'field list' | 
Mon, 31 Jan 2022 06:29:43 GMT | ERROR | Model.log | Error: Table 'auction.client' doesn't exist | 
Mon, 31 Jan 2022 06:29:43 GMT | ERROR | Model.log | Error: Unknown column 'user_id' in 'field list' | 
Mon, 31 Jan 2022 06:32:06 GMT | ERROR | Model.log | Error: Table 'auction.client' doesn't exist | 
Mon, 31 Jan 2022 06:32:06 GMT | ERROR | Model.log | Error: Unknown column 'user_id' in 'field list' | 
Mon, 31 Jan 2022 06:34:01 GMT | ERROR | Model.log | Error: Table 'auction.client' doesn't exist | 
Mon, 31 Jan 2022 06:34:01 GMT | ERROR | Model.log | Error: Unknown column 'user_id' in 'field list' | 
